Transaction_ID,Customer_ID,Purchase_Date,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Payment_Status,Acquisition_Channel,Customer_Segment,City,State,Gender,Age_Group
T000054,C0012,2025-09-24,Books,Novel,1,598,598,Success,Amazon,Premium,Hyderabad,Telangana,Female,25-34
T000055,C0013,2025-07-30,Electronics,Keyboard,1,799,799,Refunded,YouTube,New,Bengaluru,Karnataka,Male,18-24
T000056,C0014,2025-03-07,Beauty,Lipstick,3,499,1497,Success,Organic Search,New,Bengaluru,Karnataka,Female,25-34
T000057,C0015,2025-06-06,Toys,Blocks,1,1198,1198,Success,Google Ads,Premium,Chennai,Tamil Nadu,Male,45-54
T000058,C0015,2025-06-20,Sports,Dumbbell,2,3598,7196,Success,Google Ads,Premium,Chennai,Tamil Nadu,Male,45-54
T000059,C0015,2025-06-04,Home & Kitchen,Bottle,1,358,358,Success,Google Ads,Premium,Chennai,Tamil Nadu,Male,45-54
T000060,C0015,2025-07-22,Sports,Football,3,2398,7194,Success,Google Ads,Premium,Chennai,Tamil Nadu,Male,45-54
T000061,C0015,2025-07-12,Toys,Blocks,3,1798,5394,Success,Google Ads,Premium,Chennai,Tamil Nadu,Male,45-54
T000062,C0015,2025-07-12,Sports,Yoga Mat,2,1198,2396,Success,Google Ads,Premium,Chennai,Tamil Nadu,Male,45-54
T000063,C0015,2025-08-03,Sports,Football,1,598,598,Success,Google Ads,Premium,Chennai,Tamil Nadu,Male,45-54
T000064,C0015,2025-08-10,Sports,Football,1,1198,1198,Success,Google Ads,Premium,Chennai,Tamil Nadu,Male,45-54
T000065,C0015,2025-08-18,Beauty,Face Wash,2,1198,2396,Success,Google Ads,Premium,Chennai,Tamil Nadu,Male,45-54
T000066,C0016,2025-02-09,Grocery,Rice,2,1999,3998,Success,Email,Returning,Delhi,Delhi,Female,25-34
T000067,C0016,2025-02-24,Toys,Puzzle,2,799,1598,Success,Email,Returning,Delhi,Delhi,Female,25-34
T000068,C0017,2025-08-27,Home & Kitchen,Bottle,3,4999,14997,Success,Amazon,New,Bengaluru,Karnataka,Female,18-24
T000069,C0018,2025-02-26,Grocery,Coffee,1,2398,2398,Success,Google Ads,Premium,Kolkata,West Bengal,Male,35-44
T000070,C0018,2025-03-07,Accessories,Watch,2,958,1916,Success,Google Ads,Premium,Kolkata,West Bengal,Male,35-44
T000071,C0018,2025-03-11,Grocery,Tea,2,358,716,Success,Google Ads,Premium,Kolkata,West Bengal,Male,35-44
T000072,C0018,2025-04-08,Electronics,Keyboard,3,238,714,Success,Google Ads,Premium,Kolkata,West Bengal,Male,35-44
T000073,C0018,2025-04-09,Electronics,Keyboard,1,598,598,Success,Google Ads,Premium,Kolkata,West Bengal,Male,35-44
T000074,C0018,2025-03-23,Fashion,T-Shirt,2,1198,2396,Success,Google Ads,Premium,Kolkata,West Bengal,Male,35-44
T000075,C0019,2025-05-01,Books,Notebook,2,3598,7196,Success,Google Ads,Premium,Kolkata,West Bengal,Female,45-54
T000076,C0019,2025-04-20,Electronics,Headphones,3,2398,7194,Success,Google Ads,Premium,Kolkata,West Bengal,Female,45-54
T000077,C0019,2025-04-06,Sports,Football,2,1798,3596,Success,Google Ads,Premium,Kolkata,West Bengal,Female,45-54
T000078,C0020,2025-11-06,Toys,Puzzle,3,3598,10794,Success,Amazon,New,Pune,Maharashtra,Male,45-54
T000079,C0020,2025-11-28,Footwear,Sneakers,1,5998,5998,Success,Amazon,New,Pune,Maharashtra,Male,45-54
T000080,C0021,2025-12-25,Accessories,Wallet,1,598,598,Failed,Google Ads,New,Hyderabad,Telangana,Female,45-54
T000081,C0022,2025-03-05,Accessories,Bag,3,799,2397,Success,Instagram,New,Bengaluru,Karnataka,Female,35-44
T000082,C0022,2025-04-17,Fashion,Dress,3,999,2997,Success,Instagram,New,Bengaluru,Karnataka,Female,35-44
T000083,C0023,2025-08-16,Grocery,Coffee,1,799,799,Success,YouTube,New,Pune,Maharashtra,Female,25-34
T000084,C0024,2025-05-19,Toys,Blocks,2,1499,2998,Success,Email,Returning,Hyderabad,Telangana,Female,35-44
T000085,C0024,2025-07-13,Electronics,Headphones,3,1499,4497,Success,Email,Returning,Hyderabad,Telangana,Female,35-44
T000086,C0024,2025-07-11,Beauty,Face Wash,1,499,499,Success,Email,Returning,Hyderabad,Telangana,Female,35-44
T000087,C0025,2025-07-19,Fashion,T-Shirt,3,799,2397,Success,Instagram,New,Chennai,Tamil Nadu,Male,35-44
T000088,C0026,2025-12-22,Toys,Blocks,2,2398,4796,Success,Google Ads,New,Pune,Maharashtra,Male,25-34
T000089,C0026,2026-01-09,Toys,Puzzle,2,499,998,Success,Google Ads,New,Pune,Maharashtra,Male,25-34
T000090,C0027,2025-12-21,Footwear,Sneakers,1,5998,5998,Success,Instagram,New,Delhi,Delhi,Male,25-34
T000091,C0028,2025-08-05,Accessories,Watch,1,598,598,Success,Organic Search,Premium,Bengaluru,Karnataka,Male,18-24
T000092,C0028,2025-08-04,Grocery,Coffee,1,1798,1798,Success,Organic Search,Premium,Bengaluru,Karnataka,Male,18-24
T000093,C0028,2025-07-17,Electronics,Keyboard,1,2398,2398,Success,Organic Search,Premium,Bengaluru,Karnataka,Male,18-24
T000094,C0029,2025-07-23,Fashion,T-Shirt,1,1999,1999,Success,Facebook Ads,New,Kolkata,West Bengal,Female,18-24
T000095,C0029,2025-08-22,Grocery,Tea,3,1999,5997,Success,Facebook Ads,New,Kolkata,West Bengal,Female,18-24
T000096,C0030,2025-12-01,Sports,Dumbbell,3,1198,3594,Success,Amazon,New,Bengaluru,Karnataka,Female,25-34
T000097,C0030,2025-12-28,Footwear,Boots,2,1798,3596,Success,Amazon,New,Bengaluru,Karnataka,Female,25-34
T000098,C0031,2025-10-17,Grocery,Coffee,2,1198,2396,Success,YouTube,Returning,Chennai,Tamil Nadu,Female,25-34
T000099,C0031,2025-11-28,Beauty,Face Wash,1,2398,2398,Success,YouTube,Returning,Chennai,Tamil Nadu,Female,25-34
T000100,C0032,2025-02-24,Footwear,Boots,2,999,1998,Failed,Organic Search,Returning,Chennai,Tamil Nadu,Male,25-34
T000101,C0032,2025-02-24,Sports,Yoga Mat,3,299,897,Success,Organic Search,Returning,Chennai,Tamil Nadu,Male,25-34
T000102,C0032,2025-03-30,Footwear,Sneakers,3,499,1497,Success,Organic Search,Returning,Chennai,Tamil Nadu,Male,25-34
T000103,C0033,2025-07-11,Home & Kitchen,Pan,2,1499,2998,Success,YouTube,New,Mumbai,Maharashtra,Male,45-54
T000104,C0034,2025-02-23,Toys,Blocks,3,4999,14997,Success,Amazon,New,Hyderabad,Telangana,Female,25-34
T000105,C0035,2025-01-15,Grocery,Coffee,3,499,1497,Failed,Instagram,New,Hyderabad,Telangana,Female,25-34
T000106,C0035,2025-02-19,Home & Kitchen,Bottle,3,799,2397,Success,Instagram,New,Hyderabad,Telangana,Female,25-34
T000107,C0036,2025-12-03,Home & Kitchen,Pan,2,429,858,Success,Amazon,Premium,Hyderabad,Telangana,Male,18-24
T000108,C0036,2025-11-28,Beauty,Lipstick,3,1149,3447,Success,Amazon,Premium,Hyderabad,Telangana,Male,18-24
T000109,C0036,2025-11-13,Sports,Football,1,7197,7197,Success,Amazon,Premium,Hyderabad,Telangana,Male,18-24
T000110,C0037,2025-08-09,Beauty,Perfume,3,4999,14997,Success,Email,Returning,Hyderabad,Telangana,Male,45-54
T000111,C0037,2025-09-08,Electronics,Monitor,3,4999,14997,Success,Email,Returning,Hyderabad,Telangana,Male,45-54
T000112,C0037,2025-09-20,Fashion,Jeans,1,199,199,Success,Email,Returning,Hyderabad,Telangana,Male,45-54
T000113,C0037,2025-10-15,Grocery,Tea,3,1198,3594,Success,Email,Returning,Hyderabad,Telangana,Male,45-54
T000114,C0038,2025-09-24,Toys,Puzzle,3,2998,8994,Success,Instagram,VIP,Hyderabad,Telangana,Female,18-24
T000115,C0038,2025-09-25,Grocery,Coffee,3,298,894,Success,Instagram,VIP,Hyderabad,Telangana,Female,18-24
T000116,C0038,2025-09-25,Sports,Yoga Mat,2,298,596,Success,Instagram,VIP,Hyderabad,Telangana,Female,18-24
T000117,C0038,2025-09-22,Electronics,Keyboard,2,448,896,Success,Instagram,VIP,Hyderabad,Telangana,Female,18-24
T000118,C0038,2025-10-21,Home & Kitchen,Bottle,3,1437,4311,Success,Instagram,VIP,Hyderabad,Telangana,Female,18-24
T000119,C0038,2025-10-24,Home & Kitchen,Mixer,3,1797,5391,Refunded,Instagram,VIP,Hyderabad,Telangana,Female,18-24
T000120,C0038,2025-10-31,Footwear,Sneakers,3,537,1611,Success,Instagram,VIP,Hyderabad,Telangana,Female,18-24
T000121,C0039,2025-06-11,Accessories,Wallet,1,999,999,Success,Instagram,Returning,Delhi,Delhi,Female,45-54
T000122,C0039,2025-06-15,Beauty,Lipstick,1,999,999,Success,Instagram,Returning,Delhi,Delhi,Female,45-54
T000123,C0039,2025-07-22,Beauty,Perfume,1,2999,2999,Success,Instagram,Returning,Delhi,Delhi,Female,45-54
T000124,C0039,2025-08-08,Footwear,Sneakers,3,199,597,Success,Instagram,Returning,Delhi,Delhi,Female,45-54
T000125,C0039,2025-08-30,Fashion,T-Shirt,2,2999,5998,Success,Instagram,Returning,Delhi,Delhi,Female,45-54
T000126,C0039,2025-10-15,Books,Novel,1,2398,2398,Success,Instagram,Returning,Delhi,Delhi,Female,45-54
T000127,C0039,2025-10-25,Electronics,Headphones,2,3598,7196,Success,Instagram,Returning,Delhi,Delhi,Female,45-54
T000128,C0040,2025-08-26,Accessories,Bag,2,1999,3998,Refunded,Instagram,New,Mumbai,Maharashtra,Male,45-54
T000129,C0041,2025-04-29,Grocery,Coffee,1,299,299,Success,Facebook Ads,New,Bengaluru,Karnataka,Female,18-24
T000130,C0041,2025-05-14,Books,Notebook,3,1999,5997,Refunded,Facebook Ads,New,Bengaluru,Karnataka,Female,18-24
T000131,C0042,2025-06-27,Electronics,Wireless Mouse,1,999,999,Success,Email,New,Bengaluru,Karnataka,Female,18-24
T000132,C0043,2025-01-26,Sports,Dumbbell,2,4999,9998,Success,Google Ads,New,Pune,Maharashtra,Female,25-34
T000133,C0044,2025-12-22,Grocery,Tea,3,238,714,Success,Amazon,New,Chennai,Tamil Nadu,Female,35-44
T000134,C0044,2026-01-23,Home & Kitchen,Mixer,1,199,199,Success,Amazon,New,Chennai,Tamil Nadu,Female,35-44
T000135,C0044,2026-02-09,Toys,Puzzle,3,499,1497,Success,Amazon,New,Chennai,Tamil Nadu,Female,35-44
T000136,C0045,2025-08-16,Fashion,Dress,1,299,299,Success,YouTube,Returning,Kolkata,West Bengal,Male,45-54
T000137,C0045,2025-09-15,Electronics,Headphones,3,1999,5997,Success,YouTube,Returning,Kolkata,West Bengal,Male,45-54
T000138,C0045,2025-10-15,Toys,Puzzle,3,358,1074,Success,YouTube,Returning,Kolkata,West Bengal,Male,45-54
T000139,C0046,2025-02-08,Sports,Football,3,299,897,Success,Instagram,New,Mumbai,Maharashtra,Female,18-24
T000140,C0047,2025-04-14,Books,Novel,1,299,299,Success,Facebook Ads,New,Hyderabad,Telangana,Female,35-44
T000141,C0048,2025-09-06,Grocery,Rice,3,199,597,Success,Organic Search,Returning,Mumbai,Maharashtra,Male,45-54
T000142,C0048,2025-09-24,Footwear,Sneakers,3,299,897,Refunded,Organic Search,Returning,Mumbai,Maharashtra,Male,45-54
T000143,C0048,2025-10-16,Fashion,Jacket,2,238,476,Success,Organic Search,Returning,Mumbai,Maharashtra,Male,45-54
T000144,C0048,2025-10-18,Fashion,Jeans,2,238,476,Success,Organic Search,Returning,Mumbai,Maharashtra,Male,45-54
T000145,C0048,2025-11-20,Home & Kitchen,Bottle,2,358,716,Success,Organic Search,Returning,Mumbai,Maharashtra,Male,45-54
T000146,C0048,2025-12-26,Footwear,Sneakers,2,2398,4796,Success,Organic Search,Returning,Mumbai,Maharashtra,Male,45-54
T000147,C0048,2025-12-16,Fashion,Jacket,2,238,476,Success,Organic Search,Returning,Mumbai,Maharashtra,Male,45-54
T000148,C0049,2025-02-18,Footwear,Sneakers,2,1499,2998,Success,YouTube,New,Delhi,Delhi,Male,45-54
T000149,C0050,2025-05-13,Electronics,Headphones,3,4999,14997,Failed,Instagram,New,Delhi,Delhi,Male,45-54
T000150,C0051,2025-10-27,Accessories,Wallet,1,598,598,Success,Organic Search,New,Mumbai,Maharashtra,Female,18-24
T000151,C0052,2025-11-06,Toys,Puzzle,2,1798,3596,Success,Facebook Ads,New,Bengaluru,Karnataka,Male,18-24
T000152,C0052,2025-11-28,Books,Novel,3,358,1074,Success,Facebook Ads,New,Bengaluru,Karnataka,Male,18-24
T000153,C0053,2025-10-02,Toys,Blocks,2,598,1196,Success,Organic Search,Returning,Hyderabad,Telangana,Female,35-44
T000154,C0053,2025-10-10,Toys,Puzzle,3,2398,7194,Refunded,Organic Search,Returning,Hyderabad,Telangana,Female,35-44
T000155,C0053,2025-10-25,Fashion,Jeans,1,958,958,Refunded,Organic Search,Returning,Hyderabad,Telangana,Female,35-44
T000156,C0053,2025-11-16,Home & Kitchen,Mixer,3,1798,5394,Success,Organic Search,Returning,Hyderabad,Telangana,Female,35-44
T000157,C0053,2025-11-28,Sports,Football,3,598,1794,Success,Organic Search,Returning,Hyderabad,Telangana,Female,35-44
T000158,C0054,2025-08-23,Books,Novel,2,499,998,Success,Organic Search,New,Chennai,Tamil Nadu,Male,35-44
T000159,C0055,2025-10-23,Accessories,Wallet,3,958,2874,Success,Facebook Ads,Returning,Chennai,Tamil Nadu,Female,18-24
T000160,C0055,2025-10-12,Sports,Football,3,1198,3594,Success,Facebook Ads,Returning,Chennai,Tamil Nadu,Female,18-24
T000161,C0055,2025-11-23,Footwear,Boots,3,358,1074,Success,Facebook Ads,Returning,Chennai,Tamil Nadu,Female,18-24
T000162,C0055,2025-11-25,Sports,Football,1,1198,1198,Refunded,Facebook Ads,Returning,Chennai,Tamil Nadu,Female,18-24
T000163,C0056,2025-04-04,Beauty,Lipstick,3,238,714,Success,Amazon,Premium,Pune,Maharashtra,Male,35-44
T000164,C0056,2025-04-05,Sports,Football,2,238,476,Success,Amazon,Premium,Pune,Maharashtra,Male,35-44
T000165,C0056,2025-04-17,Toys,Blocks,2,598,1196,Success,Amazon,Premium,Pune,Maharashtra,Male,35-44
T000166,C0057,2025-08-16,Electronics,Headphones,2,999,1998,Success,Instagram,New,Pune,Maharashtra,Female,18-24
T000167,C0058,2025-03-16,Toys,Blocks,2,2999,5998,Success,Email,New,Mumbai,Maharashtra,Female,45-54
T000168,C0059,2025-04-29,Toys,Puzzle,3,1498,4494,Success,Amazon,VIP,Pune,Maharashtra,Male,45-54
T000169,C0059,2025-04-14,Beauty,Face Wash,3,4498,13494,Success,Amazon,VIP,Pune,Maharashtra,Male,45-54
T000170,C0059,2025-04-17,Grocery,Tea,2,4498,8996,Success,Amazon,VIP,Pune,Maharashtra,Male,45-54
T000171,C0059,2025-04-17,Books,Notebook,1,2248,2248,Success,Amazon,VIP,Pune,Maharashtra,Male,45-54
T000172,C0060,2025-01-24,Toys,Puzzle,2,2999,5998,Success,YouTube,New,Hyderabad,Telangana,Male,25-34
T000173,C0061,2025-11-18,Sports,Dumbbell,1,3598,3598,Success,Facebook Ads,New,Pune,Maharashtra,Male,18-24
T000174,C0061,2025-12-24,Electronics,Headphones,3,1798,5394,Success,Facebook Ads,New,Pune,Maharashtra,Male,18-24
T000175,C0061,2026-01-20,Toys,Puzzle,1,2999,2999,Success,Facebook Ads,New,Pune,Maharashtra,Male,18-24
T000176,C0062,2025-08-25,Beauty,Lipstick,1,1999,1999,Success,YouTube,New,Kolkata,West Bengal,Female,45-54
T000177,C0062,2025-09-10,Home & Kitchen,Mixer,3,199,597,Success,YouTube,New,Kolkata,West Bengal,Female,45-54
T000178,C0063,2025-04-29,Accessories,Wallet,1,2999,2999,Success,Organic Search,New,Hyderabad,Telangana,Female,45-54
T000179,C0064,2025-10-27,Toys,Puzzle,3,1198,3594,Failed,Email,Returning,Mumbai,Maharashtra,Male,18-24
T000180,C0064,2025-11-24,Grocery,Coffee,3,2398,7194,Success,Email,Returning,Mumbai,Maharashtra,Male,18-24
T000181,C0064,2025-12-17,Books,Notebook,3,2398,7194,Success,Email,Returning,Mumbai,Maharashtra,Male,18-24
T000182,C0064,2026-01-19,Accessories,Watch,2,199,398,Success,Email,Returning,Mumbai,Maharashtra,Male,18-24
T000183,C0064,2026-01-19,Fashion,Jeans,1,799,799,Success,Email,Returning,Mumbai,Maharashtra,Male,18-24
T000184,C0064,2026-03-03,Beauty,Lipstick,2,299,598,Success,Email,Returning,Mumbai,Maharashtra,Male,18-24
T000185,C0065,2025-01-20,Fashion,T-Shirt,1,2999,2999,Success,Facebook Ads,Returning,Chennai,Tamil Nadu,Male,25-34
T000186,C0066,2025-02-28,Toys,Blocks,1,299,299,Success,Email,Returning,Delhi,Delhi,Male,25-34
T000187,C0066,2025-02-25,Beauty,Face Wash,2,1499,2998,Success,Email,Returning,Delhi,Delhi,Male,25-34
T000188,C0067,2025-01-16,Accessories,Watch,3,4999,14997,Success,YouTube,New,Chennai,Tamil Nadu,Male,45-54
T000189,C0068,2025-04-06,Grocery,Rice,3,1999,5997,Success,Organic Search,New,Hyderabad,Telangana,Female,25-34
T000190,C0068,2025-04-17,Electronics,Wireless Mouse,2,799,1598,Success,Organic Search,New,Hyderabad,Telangana,Female,25-34
T000191,C0069,2025-10-28,Books,Novel,2,5998,11996,Success,YouTube,New,Mumbai,Maharashtra,Female,35-44
T000192,C0070,2025-12-07,Accessories,Watch,3,598,1794,Success,Email,New,Kolkata,West Bengal,Female,18-24
T000193,C0070,2026-01-08,Books,Notebook,2,2999,5998,Success,Email,New,Kolkata,West Bengal,Female,18-24
T000194,C0070,2026-01-15,Home & Kitchen,Mixer,3,499,1497,Success,Email,New,Kolkata,West Bengal,Female,18-24
T000195,C0071,2025-06-10,Accessories,Watch,1,2999,2999,Success,Google Ads,New,Hyderabad,Telangana,Female,35-44
T000196,C0072,2025-09-25,Toys,Blocks,1,2999,2999,Success,Amazon,New,Delhi,Delhi,Male,25-34
T000197,C0073,2025-03-10,Beauty,Lipstick,3,999,2997,Success,Instagram,Returning,Hyderabad,Telangana,Female,18-24
T000198,C0073,2025-04-13,Sports,Football,1,799,799,Success,Instagram,Returning,Hyderabad,Telangana,Female,18-24
T000199,C0073,2025-04-28,Electronics,Wireless Mouse,3,499,1497,Success,Instagram,Returning,Hyderabad,Telangana,Female,18-24
T000200,C0073,2025-05-31,Toys,Puzzle,1,1499,1499,Success,Instagram,Returning,Hyderabad,Telangana,Female,18-24
T000201,C0073,2025-05-15,Home & Kitchen,Pan,3,1499,4497,Success,Instagram,Returning,Hyderabad,Telangana,Female,18-24
T000202,C0073,2025-06-22,Sports,Yoga Mat,3,299,897,Success,Instagram,Returning,Hyderabad,Telangana,Female,18-24
T000203,C0073,2025-06-29,Grocery,Coffee,3,999,2997,Success,Instagram,Returning,Hyderabad,Telangana,Female,18-24
T000204,C0074,2025-08-28,Sports,Dumbbell,3,199,597,Success,Organic Search,New,Mumbai,Maharashtra,Female,25-34
T000205,C0075,2025-09-08,Accessories,Wallet,2,4999,9998,Success,Facebook Ads,Returning,Delhi,Delhi,Male,18-24
T000206,C0075,2025-10-23,Accessories,Wallet,1,2398,2398,Success,Facebook Ads,Returning,Delhi,Delhi,Male,18-24
T000207,C0075,2025-10-25,Fashion,Dress,1,958,958,Success,Facebook Ads,Returning,Delhi,Delhi,Male,18-24
T000208,C0075,2025-11-07,Books,Notebook,2,2398,4796,Success,Facebook Ads,Returning,Delhi,Delhi,Male,18-24
T000209,C0075,2025-11-21,Toys,Puzzle,2,358,716,Success,Facebook Ads,Returning,Delhi,Delhi,Male,18-24
T000210,C0075,2025-12-07,Toys,Puzzle,1,3598,3598,Success,Facebook Ads,Returning,Delhi,Delhi,Male,18-24
T000211,C0076,2025-08-31,Toys,Puzzle,1,999,999,Success,Amazon,New,Hyderabad,Telangana,Female,45-54
T000212,C0077,2025-09-20,Home & Kitchen,Bottle,3,1499,4497,Success,Organic Search,Returning,Chennai,Tamil Nadu,Female,45-54
T000213,C0078,2025-09-20,Grocery,Tea,1,499,499,Success,Organic Search,New,Pune,Maharashtra,Male,25-34
T000214,C0079,2025-07-02,Beauty,Lipstick,2,4999,9998,Success,Email,New,Hyderabad,Telangana,Female,45-54
T000215,C0079,2025-07-13,Footwear,Sneakers,3,2999,8997,Success,Email,New,Hyderabad,Telangana,Female,45-54
T000216,C0080,2025-12-25,Home & Kitchen,Mixer,1,2877,2877,Success,Google Ads,Premium,Pune,Maharashtra,Female,25-34
T000217,C0080,2025-12-11,Books,Novel,3,7197,21591,Success,Google Ads,Premium,Pune,Maharashtra,Female,25-34
